epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,3449.74,0.53073,0.3069,0.90407,0.97458,0.98286,0.98767,0.91284,0.43037,0.24515,0.82781,0.0067825,0.0067825,0.0067825
132,3475.89,0.52695,0.30419,0.90387,0.97273,0.98514,0.9873,0.90642,0.4379,0.2424,0.82954,0.00675775,0.00675775,0.00675775
133,3502.1,0.52168,0.30631,0.89631,0.97629,0.98312,0.98742,0.91195,0.42004,0.24359,0.82173,0.006733,0.006733,0.006733
134,3528.36,0.52388,0.3038,0.90025,0.97482,0.98293,0.98772,0.90918,0.44252,0.24399,0.82906,0.00670825,0.00670825,0.00670825
135,3554.65,0.52988,0.30458,0.90625,0.974,0.98527,0.98853,0.91032,0.42527,0.23601,0.82315,0.0066835,0.0066835,0.0066835
136,3580.89,0.52277,0.30354,0.89808,0.97561,0.98732,0.98985,0.91225,0.42679,0.24053,0.82477,0.00665875,0.00665875,0.00665875
137,3607.06,0.52995,0.30234,0.90317,0.97483,0.98642,0.98828,0.90655,0.43403,0.24253,0.82901,0.006634,0.006634,0.006634
138,3633.3,0.53172,0.30488,0.9061,0.97346,0.98622,0.98968,0.90892,0.43035,0.24255,0.82478,0.00660925,0.00660925,0.00660925
139,3659.53,0.5278,0.30531,0.90224,0.97224,0.98548,0.98856,0.90925,0.43733,0.2416,0.82536,0.0065845,0.0065845,0.0065845
140,3685.8,0.52201,0.30079,0.90239,0.97486,0.98462,0.98883,0.91219,0.43714,0.23898,0.8263,0.00655975,0.00655975,0.00655975
141,3712.03,0.52459,0.2998,0.90023,0.97426,0.98606,0.98916,0.91166,0.43569,0.23917,0.82528,0.006535,0.006535,0.006535
142,3738.51,0.51856,0.3029,0.89996,0.97313,0.98374,0.98847,0.9106,0.44427,0.24104,0.82814,0.00651025,0.00651025,0.00651025
143,3764.75,0.52464,0.30216,0.9012,0.97454,0.98346,0.98734,0.91231,0.4349,0.23803,0.82627,0.0064855,0.0064855,0.0064855
144,3791.05,0.52418,0.30249,0.90365,0.97401,0.98522,0.98887,0.91337,0.42365,0.23198,0.8238,0.00646075,0.00646075,0.00646075
145,3817.33,0.52065,0.30132,0.90031,0.97803,0.98371,0.98861,0.91143,0.42551,0.23063,0.82481,0.006436,0.006436,0.006436
146,3843.55,0.51879,0.29864,0.89927,0.97798,0.98376,0.98889,0.9124,0.43582,0.23403,0.82528,0.00641125,0.00641125,0.00641125
147,3869.84,0.51717,0.29864,0.89897,0.97748,0.98383,0.98834,0.90723,0.44139,0.24075,0.8268,0.0063865,0.0063865,0.0063865
148,3896.19,0.52211,0.30074,0.90123,0.9747,0.98521,0.98824,0.90874,0.42296,0.23455,0.8225,0.00636175,0.00636175,0.00636175
149,3922.56,0.52271,0.30058,0.90088,0.97619,0.98524,0.98985,0.91413,0.4203,0.23352,0.82233,0.006337,0.006337,0.006337
150,3948.78,0.51905,0.29932,0.89903,0.97242,0.98543,0.98968,0.91446,0.42451,0.23354,0.82388,0.00631225,0.00631225,0.00631225
151,3975.12,0.51452,0.29627,0.89862,0.97475,0.98593,0.98919,0.90791,0.43571,0.23758,0.82658,0.0062875,0.0062875,0.0062875
152,4001.35,0.51598,0.30041,0.89874,0.9764,0.98501,0.98808,0.91166,0.42635,0.23755,0.82403,0.00626275,0.00626275,0.00626275
153,4027.6,0.51798,0.29714,0.89851,0.97468,0.98392,0.98812,0.91729,0.41708,0.2326,0.82277,0.006238,0.006238,0.006238
154,4053.95,0.51789,0.29918,0.89768,0.97232,0.98468,0.98933,0.91716,0.41306,0.22946,0.82073,0.00621325,0.00621325,0.00621325
155,4080.23,0.51402,0.29618,0.89984,0.97334,0.9838,0.98786,0.91587,0.41816,0.23125,0.82347,0.0061885,0.0061885,0.0061885
156,4106.6,0.51538,0.29768,0.89925,0.97435,0.984,0.98841,0.91367,0.42371,0.23077,0.82436,0.00616375,0.00616375,0.00616375
157,4132.74,0.51464,0.29559,0.90259,0.9736,0.9842,0.98844,0.91344,0.42225,0.22946,0.82415,0.006139,0.006139,0.006139
158,4159,0.51288,0.29796,0.89682,0.97084,0.98451,0.98861,0.91623,0.42213,0.22936,0.82303,0.00611425,0.00611425,0.00611425
159,4185.27,0.51611,0.29734,0.89629,0.97134,0.98479,0.98843,0.91496,0.42916,0.23305,0.82381,0.0060895,0.0060895,0.0060895
160,4211.52,0.51656,0.29572,0.89767,0.96971,0.9848,0.98846,0.91907,0.4209,0.23228,0.82309,0.00606475,0.00606475,0.00606475
161,4237.7,0.50606,0.29346,0.8928,0.97119,0.98471,0.98815,0.92036,0.41994,0.23081,0.8229,0.00604,0.00604,0.00604
162,4263.8,0.50967,0.29334,0.89596,0.97193,0.98486,0.98862,0.91633,0.42044,0.23074,0.82282,0.00601525,0.00601525,0.00601525
163,4289.92,0.50915,0.29239,0.89455,0.97361,0.98586,0.98968,0.9175,0.41919,0.22979,0.8219,0.0059905,0.0059905,0.0059905
164,4316.11,0.51341,0.29516,0.89731,0.97249,0.98617,0.98959,0.91437,0.42602,0.23173,0.82395,0.00596575,0.00596575,0.00596575
165,4342.19,0.50929,0.29462,0.89932,0.97291,0.98601,0.98997,0.91559,0.42048,0.22959,0.82379,0.005941,0.005941,0.005941
166,4368.35,0.51407,0.29268,0.89945,0.9736,0.98652,0.99024,0.91648,0.41768,0.2292,0.82242,0.00591625,0.00591625,0.00591625
167,4394.53,0.50906,0.29344,0.89828,0.97375,0.98595,0.99017,0.91454,0.42377,0.23393,0.82329,0.0058915,0.0058915,0.0058915
168,4420.59,0.50932,0.29574,0.8964,0.97522,0.98544,0.98963,0.91225,0.42896,0.23353,0.82557,0.00586675,0.00586675,0.00586675
169,4446.88,0.50721,0.29342,0.89424,0.97334,0.98415,0.98885,0.91696,0.41773,0.22866,0.8232,0.005842,0.005842,0.005842
170,4473.11,0.50732,0.29262,0.89524,0.97409,0.98561,0.98952,0.9178,0.41255,0.22924,0.82123,0.00581725,0.00581725,0.00581725
171,4499.35,0.50658,0.29139,0.89443,0.97421,0.98597,0.98936,0.91661,0.4074,0.22389,0.81973,0.0057925,0.0057925,0.0057925
172,4525.61,0.50688,0.29188,0.89772,0.97449,0.98544,0.98826,0.91554,0.41928,0.23126,0.82141,0.00576775,0.00576775,0.00576775
173,4551.74,0.49982,0.28837,0.89432,0.97228,0.98551,0.98864,0.9172,0.42065,0.22786,0.82085,0.005743,0.005743,0.005743
174,4577.86,0.50609,0.2923,0.89641,0.97107,0.98612,0.98895,0.9167,0.41644,0.23013,0.82083,0.00571825,0.00571825,0.00571825
175,4604.09,0.50527,0.29028,0.89485,0.96959,0.98584,0.98864,0.91831,0.40785,0.22623,0.8186,0.0056935,0.0056935,0.0056935
176,4630.27,0.5031,0.29121,0.8935,0.97311,0.98676,0.98889,0.91849,0.40706,0.22476,0.81831,0.00566875,0.00566875,0.00566875
177,4656.44,0.50158,0.29079,0.8928,0.97641,0.98703,0.98967,0.91745,0.4223,0.22954,0.82195,0.005644,0.005644,0.005644
178,4682.67,0.50114,0.29035,0.89416,0.97425,0.9854,0.98937,0.91738,0.42078,0.23186,0.82172,0.00561925,0.00561925,0.00561925
179,4708.84,0.5029,0.28927,0.8929,0.97403,0.98608,0.98967,0.91649,0.4187,0.22883,0.82096,0.0055945,0.0055945,0.0055945
180,4734.96,0.50477,0.28873,0.89659,0.9724,0.98525,0.98911,0.9158,0.42451,0.22933,0.82227,0.00556975,0.00556975,0.00556975
181,4761.34,0.50138,0.28752,0.89354,0.97093,0.98588,0.98883,0.91699,0.42014,0.22751,0.82209,0.005545,0.005545,0.005545
182,4787.6,0.50176,0.2906,0.89387,0.96382,0.99068,0.98901,0.91974,0.4076,0.22509,0.81965,0.00552025,0.00552025,0.00552025
183,4813.87,0.50023,0.28672,0.89359,0.97082,0.98243,0.98879,0.91786,0.41281,0.22786,0.82103,0.0054955,0.0054955,0.0054955
184,4840.01,0.50393,0.28785,0.89608,0.97739,0.98583,0.98971,0.92039,0.40809,0.22551,0.82038,0.00547075,0.00547075,0.00547075
